neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
LA PILARICA,APARTAMENTO,420000000,3.0,2.0,83.0,4.0,1,5,LA PILARICA,1,268
LA BERMEJALA,APARTAMENTO,250000000,3.0,2.0,53.0,0.0,0,4,LA BERMEJALA,1,221
LOMA DEL BARRO,CASA,1260000000,3.0,2.0,170.0,3.0,5,3,LOMA DEL BARRO,2,317
CASTROPOL,APARTAMENTO,450000000,4.0,3.0,89.0,3.0,2,5,CASTROPOL,1,96
CALASANZ,APARTAMENTO,289000000,2.0,2.0,60.0,4.0,1,5,CALASANZ,1,72
BOSTON,CASA,710000000,5.0,3.0,312.0,4.0,1,4,BOSTON,2,61
SANTA ANA,APARTAESTUDIO,220000000,1.0,2.0,48.0,0.0,0,3,SANTA ANA,0,471
SAN MIGUEL,APARTAESTUDIO,200000000,1.0,1.0,43.0,0.0,1,4,SAN MIGUEL,0,466
VEGAS DE LA DOCTORA,APARTAMENTO,400000000,3.0,2.0,78.0,2.0,1,3,LA DOCTORA,1,236
LA BAHIA,APARTAMENTO,310000000,2.0,2.0,60.0,0.0,0,4,LA BAHIA,1,218
MESA,APARTAMENTO,450000000,3.0,2.0,81.0,1.0,1,5,MESA,1,357
ALCAZARES ,APARTAMENTO,340000000,2.0,2.0,54.0,0.0,1,3,LOS ALCAZARES,1,329
LOMA DE LAS BRUJAS,APARTAMENTO,2300000000,3.0,6.0,307.0,4.0,3,5,LOMA DE LAS BRUJAS,1,309
DITAIRES,APARTAMENTO,322000000,3.0,2.0,59.0,1.0,1,4,DITAIRES,1,129
CALASANZ,APARTAMENTO,460000000,3.0,2.0,85.0,0.0,1,4,CALASANZ,1,72
URBANIZACION DOÑA MARIA ROBLEDO,APARTAMENTO,350000000,3.0,3.0,87.0,3.0,1,3,ROBLEDO,1,437
SURAMERICA,APARTAMENTO,354500000,3.0,2.0,76.0,1.0,0,4,SURAMERICA,1,501
LOMA DEL INDIO,APARTAMENTO,525000000,3.0,2.0,76.0,1.0,1,4,LOMA DEL INDIO,1,320
ZUÑIGA,CASA,630000000,3.0,3.0,204.0,4.0,2,5,ZUÑIGA,2,592
MESA,APARTAMENTO,420000000,2.0,2.0,70.0,1.0,1,3,MESA,1,357
LAS ANTILLAS,APARTAMENTO,395000000,2.0,2.0,70.0,0.0,0,4,LAS ANTILLAS,1,285
CENTRO,APARTAMENTO,300000000,3.0,1.0,74.0,3.0,0,3,CENTRO,1,101
SANTA MARIA,APARTAMENTO,360000000,3.0,2.0,71.0,1.0,1,4,SANTA MARIA DE LOS ANGELES,1,481
SURAMERICA,APARTAMENTO,520000000,2.0,2.0,88.0,1.0,1,4,SURAMERICA,1,501
LA PAZ,APARTAMENTO,375000000,3.0,2.0,82.0,3.0,1,4,ENVIGADO LA PAZ LV,1,175
LAURELES,APARTAMENTO,430000000,3.0,2.0,133.0,0.0,1,5,LAURELES,1,303
EL RODEO,APARTAMENTO,240000000,3.0,2.0,53.0,2.0,1,3,EL RODEO,1,160
VALLANO,CASA,3000000000,4.0,5.0,350.0,0.0,6,4,VALLANO,2,557
LOMA DEL INDIO,APARTAMENTO,375000000,2.0,2.0,60.0,0.0,1,3,LOMA DEL INDIO,1,320
SANTA MONICA,CASA,310000000,3.0,1.0,70.0,2.0,0,3,SANTA MONICA,2,484
LA FERRERIA,APARTAMENTO,310000000,3.0,1.0,68.0,1.0,1,4,LA FE,1,241
VEGAS DE LA DOCTORA,APARTAMENTO,380000000,2.0,2.0,97.0,3.0,1,4,LA DOCTORA,1,236
MEDELLIN,APARTAMENTO,850000000,2.0,2.0,94.0,2.0,2,6,PRADO CENTRO MEDELLIN,1,421
URBANIZACION VEGAS DEL POBLADO,APARTAMENTO,750000000,3.0,3.0,140.0,4.0,2,6,EL POBLADO,1,156
LOMA EL ATRAVESADO,APARTAMENTO,480000000,3.0,3.0,111.0,2.0,2,5,LOMA EL ATRAVESADO,1,322
ORIENTE ANTIOQUEÑO LLANOGRANDE,APARTAMENTO,320000000,1.0,1.0,46.0,1.0,1,5,ORIENTE ANTIOQUEÑO LLANOGRANDE,1,385
SEÑORIAL,APARTAMENTO,250000000,3.0,1.0,60.0,3.0,0,3,SEÑORIAL,1,496
DORADO,APARTAMENTO,480000000,3.0,2.0,92.0,0.0,1,3,EL DORADO,1,147
LAURELES,APARTAMENTO,900000000,4.0,3.0,240.0,3.0,4,5,LAURELES,1,303
PARQUE RESIDENCIAL LA SABANA,APARTAMENTO,273000000,3.0,2.0,65.0,1.0,0,3,PARQUE RESIDENCIAL LA SABANA,1,399
SABANETA SECTOR EURO,APARTAESTUDIO,320000000,1.0,1.0,49.0,1.0,1,2,SABANETA,0,441
BUENOS AIRES,APARTAMENTO,162000000,2.0,1.0,37.0,2.0,0,3,BUENOS AIRES,1,65
ZONA INDUSTRIAL NO. 1,CASA,428000000,4.0,2.0,94.0,3.0,0,3,ZONA INDUSTRIAL NO. 1,2,588
EL PESEBRE,APARTAMENTO,280000000,3.0,2.0,51.0,2.0,1,4,EL PESEBRE,1,155
LA ALMERIA,APARTAMENTO,330000000,3.0,2.0,82.0,3.0,1,5,LA ALMERIA,1,213
CALASANZ PARTE ALTA,CASA,538000000,3.0,5.0,130.0,3.0,1,5,CALASANZ,2,72
TEJELO,CASA,250000000,3.0,1.0,80.0,0.0,0,3,TEJELO,2,505
SURAMERICA,APARTAMENTO,380000000,3.0,2.0,82.0,1.0,1,4,SURAMERICA,1,501
EL DORADO,APARTAMENTO,480000000,3.0,2.0,71.0,3.0,1,4,EL DORADO,1,147
ENVIGADO,CASA,2050000000,3.0,3.0,300.0,4.0,4,5,ENVIGADO,2,174
LOMA DEL ESMERALDAL,APARTAMENTO,630000000,3.0,2.0,112.0,0.0,0,5,EL ESMERALDAL,1,149
LA CANDELARIA,APARTAMENTO,730000000,3.0,3.0,147.0,3.0,1,6,LA CANDELARIA,1,226
DITAIRES,APARTAMENTO,460000000,3.0,2.0,87.0,0.0,1,4,DITAIRES,1,129
LA FERRERIA,APARTAMENTO,363002000,2.0,2.0,72.0,0.0,1,4,LA FE,1,241
ZUÑIGA,APARTAMENTO,1400000000,3.0,4.0,206.0,2.0,2,5,ZUÑIGA,1,592
LAS LOMITAS,APARTAMENTO,710000000,3.0,2.0,104.0,0.0,1,4,LAS LOMITAS,1,296
ALEJANDRIA,APARTAMENTO,1100000000,3.0,5.0,265.0,4.0,2,6,ALEJANDRIA,1,8
LOS CERROS - EL VERGEL,CASA,490000000,5.0,3.0,144.0,0.0,1,3,LOS CERROS - EL VERGEL,2,334
BRUJAS,APARTAMENTO,770000000,2.0,2.0,98.0,1.0,2,5,LOMA DE LAS BRUJAS,1,309
CENTRO ADMINISTRATIVO,APARTAMENTO,450000000,4.0,4.0,210.0,4.0,2,4,CENTRO,1,101
AVES MARIA,APARTAMENTO,619000000,3.0,2.0,116.0,1.0,1,4,AVES MARIA,1,35
LAS LOMAS NO.1,APARTAMENTO,560000000,3.0,2.0,90.0,4.0,2,6,LAS LOMAS NO.1,1,295
SAN ANTONIO DE PRADO,APARTAMENTO,210000000,3.0,2.0,50.0,0.0,0,3,SAN ANTONIO DE PRADO,1,448
LAS BRUJAS,APARTAMENTO,680000000,2.0,3.0,114.0,1.0,2,4,LOMA DE LAS BRUJAS,1,309
LA AMERICA,APARTAMENTO,465000000,3.0,2.0,78.0,4.0,1,4,LA AMERICA,1,215
LA FLORESTA,CASA,389000000,3.0,2.0,99.0,3.0,0,4,LA FLORESTA,2,244
LAS PALMAS,APARTAMENTO,145000000,2.0,1.0,40.0,0.0,0,3,ABURRA SUR ALTO DE LAS PALMAS,1,2
LA TABLAZA,APARTAMENTO,250000000,2.0,2.0,57.0,1.0,1,3,LA TABLAZA,1,276
EL POBLADO LOS BALSOS,APARTAMENTO,750000000,4.0,2.0,150.0,3.0,2,6,EL POBLADO,1,156
SAN JOSE,APARTAMENTO,600000000,3.0,2.0,111.0,0.0,2,4,CONJUNTO RESIDENCIAL SAN JOSE,1,121
VEREDA EL PORVENIR,APARTAMENTO,266000000,3.0,2.0,55.0,1.0,1,3,PORVENIR,1,419
BELEN RODEO,APARTAMENTO,290000000,3.0,2.0,67.0,4.0,1,4,BELEN,1,44
LOMA DEL INDIO,APARTAMENTO,229000000,2.0,1.0,42.0,2.0,0,4,LOMA DEL INDIO,1,320
SAN DIEGO,APARTAMENTO,650000000,3.0,2.0,76.0,0.0,1,4,SAN DIEGO,1,452
SAN JAVIER,APARTAMENTO,240000000,3.0,2.0,65.0,3.0,1,3,SAN JAVIER,1,458
LA ABADIA,CASA,1430000000,4.0,5.0,383.0,0.0,0,5,LA ABADIA,2,210
LOPEZ DE MESA,APARTAMENTO,350000000,3.0,1.0,85.0,0.0,0,4,MESA,1,357
LAS BRISAS,CASA,750000000,4.0,4.0,160.0,1.0,2,4,LAS BRISAS,2,286
COLINA CAMPESTRE,APARTAMENTO,950000000,3.0,4.0,147.0,1.0,2,5,COLINA CAMPESTRE,1,115
LA FRONTERA,APARTAMENTO,460000000,3.0,2.0,89.0,3.0,2,5,LA FRONTERA,1,248
BOSQUES DE ZUÑIGA,APARTAESTUDIO,398000000,1.0,1.0,32.0,0.0,1,5,ZUÑIGA,0,592
LOMA DE LAS BRUJAS,APARTAMENTO,1300000000,3.0,4.0,164.0,1.0,2,5,LOMA DE LAS BRUJAS,1,309
CASA JARDIN,APARTAMENTO,316000000,3.0,2.0,62.0,1.0,1,4,CASA JARDIN,1,93
URBANIZACION DOÑA MARIA ROBLEDO,APARTAMENTO,298000000,3.0,3.0,85.0,0.0,1,3,ROBLEDO,1,437
PRADO CENTRO,CASA,850000000,5.0,3.0,367.0,0.0,1,4,CENTRO,2,101
SAN ANTONIO DE PRADO,CASA,150000000,3.0,2.0,75.0,2.0,1,3,SAN ANTONIO DE PRADO,2,448
URBANIZACION DOÑA MARIA ROBLEDO,APARTAMENTO,443000000,3.0,2.0,95.0,1.0,1,4,ROBLEDO,1,437
MONTEAZUL,APARTAMENTO,499000000,3.0,2.0,86.0,1.0,1,4,MONTEAZUL,1,366
LOMA DE BENEDICTINOS,APARTAMENTO,695000000,2.0,3.0,93.0,0.0,2,5,BENEDICTINOS,1,52
LOMA DEL ESMERALDAL,APARTAMENTO,485000000,2.0,2.0,89.0,0.0,0,5,EL ESMERALDAL,1,149
ENVIGADO CAMINO VERDE,APARTAMENTO,500000000,3.0,2.0,87.0,1.0,1,4,ENVIGADO,1,174
SANTA FE,CASA,900000000,5.0,3.0,290.0,4.0,2,4,SANTA FE,2,475
LOMA DEL ESCOBERO,CASA,1250000000,2.0,3.0,260.0,0.0,0,6,ESCOBERO,2,178
QUINTAS DEL CERRO,APARTAMENTO,825000000,3.0,2.0,113.0,1.0,2,5,QUINTAS DEL CERRO,1,431
LOMA DEL ESCOBERO,APARTAMENTO,960000000,3.0,3.0,145.0,1.0,2,5,ESCOBERO,1,178
CALASANZ,APARTAMENTO,400000000,3.0,2.0,110.0,3.0,1,4,CALASANZ,1,72
CENTRO,APARTAMENTO,175000000,3.0,2.0,87.0,4.0,0,3,CENTRO,1,101
EL PORTAL,APARTAMENTO,530000000,4.0,2.0,131.0,0.0,1,5,EL PORTAL,1,157
ENVIGADO,APARTAMENTO,790000000,3.0,3.0,130.0,2.0,2,5,ENVIGADO,1,174
VILLA HERMOSA,APARTAMENTO,545000000,3.0,2.0,151.0,0.0,0,4,VILLA HERMOSA,1,567
RODEO ALTO,APARTAMENTO,303000000,3.0,2.0,60.0,2.0,1,4,RODEO ALTO,1,440
ESCOBERO,APARTAMENTO,930000000,3.0,4.0,130.0,1.0,2,4,ESCOBERO,1,178
ENVIGADO,APARTAMENTO,1350000000,3.0,4.0,40.0,1.0,0,5,ENVIGADO,1,174
ENVIGADO,APARTAMENTO,280000000,2.0,2.0,60.0,0.0,0,4,ENVIGADO,1,174
MEDELLIN,CASA,2850000000,4.0,5.0,600.0,3.0,4,6,PRADO CENTRO MEDELLIN,2,421
BELEN LOMA DE LOS BERNAL,APARTAMENTO,550000000,3.0,2.0,99.0,4.0,1,5,BELEN,1,44
PAN DE AZUCAR,APARTAMENTO,580000000,2.0,2.0,83.0,0.0,2,4,PAN DE AZUCAR,1,393
ZONA CENTRO,CASA,2300000000,5.0,4.0,300.0,4.0,0,5,CENTRO,2,101
TABLAZO,APARTAMENTO,360000000,2.0,2.0,60.0,0.0,1,3,TABLAZO,1,504
LA AMERICA,APARTAMENTO,170000000,2.0,1.0,32.0,1.0,1,4,LA AMERICA,1,215
LOS ALCAZARES,APARTAMENTO,515000000,3.0,2.0,64.0,1.0,1,4,LOS ALCAZARES,1,329
EL POBLADO,APARTAMENTO,1700000000,3.0,5.0,497.0,3.0,3,6,ALTOS DEL POBLADO,1,17
TRANSV INTERMEDIA,CASA,935000000,4.0,3.0,229.0,0.0,0,3,INTERMEDIA,2,201
PALMAS,CASA,3950000000,4.0,4.0,366.0,4.0,4,6,ABURRA SUR ALTO DE LAS PALMAS,2,2
SAN ANTONIO DE PRADO,CASA,170000000,4.0,3.0,67.0,3.0,0,3,SAN ANTONIO DE PRADO,2,448
SANTA MARIA NO. 3,APARTAMENTO,290000000,3.0,1.0,70.0,0.0,1,3,SANTA MARIA,1,480
EL PORVENIR,APARTAMENTO,282000000,3.0,2.0,57.0,1.0,1,3,PORVENIR,1,419
LAS LOMITAS,APARTAMENTO,295000000,2.0,2.0,55.0,1.0,1,4,LAS LOMITAS,1,296
ENVIGADO,APARTAMENTO,340000000,3.0,2.0,76.0,3.0,1,3,ENVIGADO,1,174
PATIO BONITO,APARTAMENTO,750000000,4.0,3.0,126.0,3.0,2,5,PATIO BONITO,1,400
LOS COLORES,CASA,650000000,3.0,3.0,120.0,4.0,1,5,LOS COLORES,2,336
MONTEAZUL,APARTAMENTO,465000000,3.0,2.0,78.0,1.0,1,4,MONTEAZUL,1,366
AMERICA DANUBIO,APARTAMENTO,255000000,2.0,2.0,50.0,1.0,0,4,AMERICA DANUBIO,1,20
LOMA DE SAN JOSE,APARTAMENTO,350000000,2.0,2.0,65.0,1.0,1,4,LOMA DE SAN JOSE,1,314
SANTA MONICA,CASA,390000000,5.0,2.0,145.0,2.0,0,4,SANTA MONICA,2,484
PAN DE AZUCAR,APARTAMENTO,285000000,2.0,1.0,58.0,3.0,0,3,PAN DE AZUCAR,1,393
SIMON BOLIVAR,APARTAMENTO,704000000,3.0,3.0,170.0,0.0,1,4,SIMON BOLIVAR,1,498
LOMA DE LAS BRUJAS,APARTAMENTO,890000000,3.0,3.0,139.0,1.0,2,5,LOMA DE LAS BRUJAS,1,309
SAN LUCAS,CASA,1430000000,3.0,4.0,142.0,0.0,2,6,SAN LUCAS,2,462
PARQUE RESIDENCIAL LA SABANA,APARTAMENTO,290000000,3.0,2.0,65.0,0.0,0,3,PARQUE RESIDENCIAL LA SABANA,1,399
AVES MARIA,APARTAMENTO,940000000,3.0,2.0,160.0,2.0,2,4,AVES MARIA,1,35
LOMA DEL ESCOBERO,CASA,2000000000,5.0,5.0,406.0,0.0,0,5,ESCOBERO,2,178
LA LOMA,APARTAMENTO,130000000,2.0,1.0,47.0,2.0,0,1,LA LOMA DEL INDIO,1,254
LA AMERICA,APARTAMENTO,245000000,2.0,2.0,57.0,1.0,0,4,LA AMERICA,1,215
ASDESILLAS,APARTAMENTO,392000000,3.0,2.0,75.0,0.0,1,4,ASDESILLAS,1,28
EL PORTAL ENVIGADO,APARTAMENTO,680000000,3.0,4.0,140.0,3.0,1,5,ENVIGADO,1,174
LA CANDELARIA,APARTAMENTO,325000000,3.0,2.0,60.0,0.0,0,3,LA CANDELARIA,1,226
CALASANZ,APARTAMENTO,350000000,2.0,2.0,66.0,1.0,1,4,CALASANZ,1,72
CONJUNTO RESIDENCIAL SANTA MARIA DEL CAMPO,APARTAESTUDIO,255000000,1.0,1.0,55.0,1.0,1,3,SANTA MARIA,0,480
EL AJIZAL,APARTAMENTO,310000000,3.0,2.0,64.0,2.0,1,3,EL AJIZAL,1,135
PILSEN,APARTAMENTO,270000000,3.0,2.0,65.0,2.0,1,3,PILSEN,1,409
LAS LOMITAS,APARTAMENTO,380000000,3.0,2.0,63.0,2.0,1,3,LAS LOMITAS,1,296
LAS PALMAS,APARTAMENTO,4500000000,4.0,5.0,549.0,1.0,4,6,ABURRA SUR ALTO DE LAS PALMAS,1,2
BOMBONA,APARTAMENTO,260000000,3.0,2.0,62.0,2.0,0,4,BOMBONA NO.2,1,58
BUENOS AIRES,CASA,320000000,3.0,2.0,103.0,3.0,0,3,BUENOS AIRES,2,65
TRES ESQUINAS,APARTAMENTO,520000000,3.0,2.0,80.0,1.0,2,4,TRES ESQUINAS,1,521
LA AGUACATALA,APARTAMENTO,800000000,4.0,4.0,192.0,0.0,2,5,LA AGUACATALA,1,211
ROBLEDO,APARTAMENTO,295000000,2.0,2.0,52.0,3.0,1,3,ROBLEDO,1,437
BOSQUES DE ZUÑIGA,APARTAMENTO,680000000,3.0,2.0,124.0,0.0,0,5,ZUÑIGA,1,592
PAN DE AZUCAR,APARTAMENTO,460000000,3.0,2.0,85.0,0.0,1,4,PAN DE AZUCAR,1,393
LA ABADIA,APARTAMENTO,980000000,3.0,5.0,247.0,0.0,2,5,LA ABADIA,1,210
LA FERRERIA,APARTAMENTO,310000000,2.0,2.0,63.0,1.0,1,4,LA FE,1,241
AV POBLADO,CASA,630000000,3.0,3.0,154.0,1.0,1,5,POBLADO,2,411
CENTRO ADMINISTRATIVO,APARTAMENTO,455000000,3.0,2.0,210.0,4.0,1,3,CENTRO,1,101
SAN PIO X,CASA,6000000000,4.0,1.0,1650.0,4.0,0,3,SAN PIO,2,468
SIMON BOLIVAR,APARTAMENTO,390000000,3.0,2.0,100.0,3.0,1,5,SIMON BOLIVAR,1,498
MESA,APARTAMENTO,700000000,4.0,4.0,300.0,0.0,2,4,MESA,1,357
LAS COMETAS,APARTAMENTO,1390000000,3.0,4.0,161.0,0.0,2,6,LAS COMETAS,1,290
LA PRADERA,APARTAMENTO,290000000,3.0,2.0,92.0,2.0,2,3,LA PRADERA,1,271
EL CAMPESTRE,APARTAMENTO,1220000000,3.0,4.0,230.0,0.0,0,6,LOMA DEL CAMPESTRE,1,318
LOPEZ DE MESA,APARTAMENTO,400000000,4.0,3.0,140.0,1.0,0,4,MESA,1,357
CONQUISTADORES MEDELLIN,APARTAMENTO,530000000,3.0,3.0,165.0,3.0,1,5,MEDELLIN,1,356
DOCE DE OCTUBRE,APARTAESTUDIO,430000000,3.0,2.0,144.0,0.0,0,2,DOCE DE OCTUBRE,0,131
SAN BENITO,APARTAMENTO,268000000,3.0,2.0,56.0,3.0,1,3,SAN BENITO,1,449
LOMA EL ATRAVESADO,CASA,1850000000,3.0,5.0,222.0,2.0,2,5,LOMA EL ATRAVESADO,2,322
CENTRO,CASA,1000000000,3.0,3.0,224.0,4.0,1,4,CENTRO,2,101
BOSTON,APARTAMENTO,300000000,4.0,3.0,104.0,0.0,0,4,BOSTON,1,61
CALASANZ,APARTAMENTO,460000000,4.0,4.0,215.0,3.0,1,5,CALASANZ,1,72
HOLANDA,APARTAMENTO,500000000,3.0,2.0,90.0,1.0,1,5,HOLANDA,1,199
SANTA MARIA DE LOS ANGELES,APARTAMENTO,850000000,3.0,3.0,102.0,1.0,2,6,SANTA MARIA DE LOS ANGELES,1,481
ESTADIO,APARTAMENTO,750000000,3.0,2.0,180.0,3.0,0,5,ESTADIO,1,181
EL POBLADO,APARTAMENTO,845000000,3.0,2.0,120.0,3.0,1,6,ALTOS DEL POBLADO,1,17
LOS BALSOS,APARTAMENTO,2400000000,3.0,5.0,330.0,1.0,4,6,POBLADO LOS BALSOS N 1,1,413
SANTA GEMA,APARTAMENTO,410000000,3.0,2.0,60.0,4.0,1,4,SANTA GEMA,1,476
EL GUAYABO,APARTAMENTO,300000000,3.0,2.0,60.0,1.0,1,3,EL GUAYABO,1,150
SUR POBLADO LAS PALMAS,APARTAMENTO,690000000,1.0,2.0,92.0,1.0,1,4,LAS PALMAS,1,300
ROBLEDO,APARTAMENTO,181000000,3.0,1.0,50.0,1.0,0,4,ROBLEDO,1,437
LOS BALSOS,APARTAMENTO,1080000000,3.0,4.0,134.0,1.0,2,6,POBLADO LOS BALSOS N 1,1,413
LAS PALMAS,CASA,1790000000,3.0,4.0,179.0,1.0,2,5,ABURRA SUR ALTO DE LAS PALMAS,2,2
ASDESILLAS,APARTAMENTO,420000000,20.0,2.0,83.0,1.0,1,4,ASDESILLAS,1,28
LOMA DE LAS BRUJAS,APARTAMENTO,950000000,3.0,3.0,160.0,2.0,2,4,LOMA DE LAS BRUJAS,1,309
LOS COLORES,CASA,670000000,3.0,2.0,112.0,0.0,1,4,LOS COLORES,2,336
TRES ESQUINAS,APARTAMENTO,235000000,3.0,2.0,56.0,0.0,1,3,TRES ESQUINAS,1,521
ZONA RURAL,APARTAMENTO,280000000,3.0,2.0,65.0,0.0,1,4,ZONA RURAL,1,589
CONQUISTADORES,APARTAMENTO,861400000,3.0,3.0,120.0,1.0,1,5,CONQUISTADORES,1,122
EL TABLAZO - CANOAS,APARTAMENTO,185000000,3.0,1.0,63.0,2.0,1,3,TABLAZO,1,504
ZUÑIGA,APARTAMENTO,435000000,2.0,2.0,84.0,0.0,0,5,ZUÑIGA,1,592
LA FERRERIA,APARTAESTUDIO,220000000,1.0,2.0,45.0,1.0,1,4,LA FE,0,241
LOS NARANJOS,APARTAMENTO,420000000,2.0,2.0,73.0,2.0,1,4,LOS NARANJOS,1,340
PRADOS DE SABANETA,APARTAMENTO,255000000,3.0,1.0,52.0,0.0,0,4,PRADOS DE SABANETA,1,422
LOMA DE SAN JOSE,APARTAMENTO,280000000,3.0,2.0,56.0,1.0,1,2,LOMA DE SAN JOSE,1,314
LAS ANTILLAS,APARTAMENTO,310000000,2.0,2.0,79.0,1.0,1,4,LAS ANTILLAS,1,285
LOMA DE LOS BALSOS,APARTAMENTO,1195000000,3.0,4.0,134.0,1.0,2,6,LOMA DE LOS BALSOS,1,310
BARRIO MESA,APARTAMENTO,620000000,3.0,2.0,140.0,0.0,1,4,MESA,1,357
CAMPO AMOR,CASA,1200000000,7.0,2.0,352.0,0.0,0,3,CAMPO AMOR,2,83
LOMA DEL BARRO,APARTAMENTO,1300000000,4.0,6.0,306.0,1.0,4,4,LOMA DEL BARRO,1,317
LA CEJA,CASA,425000000,3.0,3.0,125.0,1.0,1,3,LA CEJA,2,230
ENVIGADO,APARTAMENTO,352500000,2.0,2.0,59.0,4.0,1,3,ENVIGADO,1,174
LOS COLORES,APARTAMENTO,580000000,4.0,3.0,140.0,4.0,1,5,LOS COLORES,1,336
TOLEDO,CASA,670000000,4.0,3.0,120.0,1.0,2,4,TOLEDO,2,511
BARRIO CRISTOBAL,CASA,520000000,2.0,2.0,107.0,4.0,1,3,BARRIO CRISTOBAL,2,38
BELEN ROSALES,APARTAMENTO,710000000,3.0,2.0,120.0,3.0,1,4,BELEN,1,44
SAN LUCAS,CASA,3000000000,3.0,4.0,331.0,1.0,5,6,SAN LUCAS,2,462
EL CHOCHO,APARTAMENTO,660000000,3.0,2.0,94.0,0.0,2,5,LOMA DEL CHOCHO,1,319
ENCISO,APARTAMENTO,60000000,2.0,1.0,42.0,0.0,0,2,ENCISO,1,169
SAN RAFAEL,APARTAMENTO,480000000,3.0,2.0,125.0,1.0,1,3,SAN RAFAEL,1,469
SAN ANDRES,APARTAMENTO,320000000,3.0,2.0,70.0,1.0,1,4,SAN ANDRES,1,446
PAN DE AZUCAR,APARTAMENTO,450000000,3.0,2.0,86.0,2.0,2,4,PAN DE AZUCAR,1,393
CUMBRES,APARTAMENTO,850000000,3.0,4.0,141.0,0.0,2,5,CUMBRES,1,128
EL GUAYABO,APARTAMENTO,200000000,2.0,2.0,50.0,1.0,0,3,EL GUAYABO,1,150
ACTIVIDAD MULTIPLE,APARTAMENTO,170000000,2.0,1.0,48.0,0.0,1,3,ACTIVIDAD MULTIPLE,1,4
CUMBRES,APARTAMENTO,2365000000,3.0,3.0,275.0,1.0,2,5,CUMBRES,1,128
ALCALA ,APARTAMENTO,680000000,3.0,2.0,88.0,0.0,2,5,ALCALA,1,6
LA PILARICA,APARTAMENTO,360000000,3.0,2.0,84.0,2.0,1,4,LA PILARICA,1,268
LA AMERICA,APARTAMENTO,420000000,4.0,2.0,132.0,1.0,0,3,LA AMERICA,1,215
OTRO,APARTAMENTO,300000000,2.0,1.0,58.0,1.0,0,4,OTRO,1,389
LA CASTELLANA,APARTAMENTO,290000000,2.0,2.0,58.0,2.0,0,4,LA CASTELLANA,1,228
CALASANZ PARTE ALTA,APARTAMENTO,265000000,2.0,2.0,49.5,0.0,1,4,CALASANZ,1,72
EL RODEO,APARTAMENTO,370000000,3.0,2.0,80.0,3.0,1,4,EL RODEO,1,160
SAN LUCAS,APARTAMENTO,2500000000,4.0,3.0,389.0,3.0,3,6,SAN LUCAS,1,462
LOMITAS,APARTAMENTO,320000000,3.0,2.0,60.0,1.0,2,4,LAS LOMITAS,1,296
EL DIAMANTE,APARTAMENTO,450000000,2.0,2.0,84.0,0.0,0,6,EL DIAMANTE 2,1,146
LAS LOMITAS,APARTAMENTO,380000000,3.0,2.0,82.0,1.0,2,4,LAS LOMITAS,1,296
EL POBLADO,APARTAMENTO,750000000,3.0,3.0,103.0,0.0,2,5,ALTOS DEL POBLADO,1,17
SANTA MARIA LA NUEVA,APARTAMENTO,290000000,3.0,2.0,60.0,1.0,1,3,SANTA MARIA LA NUEVA,1,482
EL CARMELO,APARTAMENTO,1600000000,5.0,6.0,550.0,1.0,3,4,EL CARMELO,1,137
RODEO ALTO,APARTAMENTO,210000000,3.0,2.0,52.8,0.0,0,3,RODEO ALTO,1,440
VEREDA SAN JOSE,APARTAMENTO,245000000,2.0,2.0,56.0,0.0,0,3,VEREDA SAN JOSE,1,563
LOMA DE LAS BRUJAS,APARTAMENTO,740000000,3.0,3.0,111.0,1.0,2,5,LOMA DE LAS BRUJAS,1,309
SAN LUCAS,CASA,1290000000,3.0,3.0,222.0,1.0,4,6,SAN LUCAS,2,462
LAS LOMITAS,APARTAMENTO,809000000,4.0,3.0,157.0,1.0,3,4,LAS LOMITAS,1,296
URBANIZACION VILLA JARDIN I ETAPA,APARTAMENTO,1100000000,3.0,3.0,123.0,2.0,2,5,URBANIZACION VILLA JARDIN I ETAPA,1,554
LAS PALMAS,CASA,1000000000,5.0,2.0,340.0,4.0,0,4,ABURRA SUR ALTO DE LAS PALMAS,2,2
LAURELES,CASA,550000000,4.0,1.0,350.0,3.0,1,3,LAURELES,2,303
SAN AGUSTIN,CASA,750000000,3.0,3.0,141.0,0.0,1,4,SAN AGUSTIN,2,445
LA FLORIDA,APARTAMENTO,375375000,3.0,3.0,83.0,0.0,0,4,LA FLORIDA,1,245
ANDALUCÌA,APARTAMENTO,700000000,4.0,3.0,188.0,3.0,0,4,ANDALUCÌA,1,22
ROBLEDO,APARTAMENTO,130000000,3.0,2.0,48.0,0.0,0,3,ROBLEDO,1,437
LA CANDELARIA,APARTAMENTO,315000000,3.0,2.0,80.0,2.0,0,3,LA CANDELARIA,1,226
SABANETA ASDESILLAS,APARTAMENTO,340000000,3.0,1.0,71.0,2.0,1,4,SABANETA,1,441
CALASANZ,APARTAMENTO,289000000,2.0,2.0,60.0,4.0,1,5,CALASANZ,1,72
EL PORTAL,APARTAMENTO,400000000,3.0,3.0,89.0,0.0,1,5,EL PORTAL,1,157
LAURELES,APARTAMENTO,620000000,4.0,4.0,177.0,4.0,2,5,LAURELES,1,303
LOMA DEL ESMERALDAL,APARTAMENTO,665000000,3.0,4.0,140.0,0.0,0,5,EL ESMERALDAL,1,149
