neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
LA FINCA,APARTAMENTO,260000000,1.0,2.0,48.0,2.0,1,3,LA FINCA,1,243
GUAYABAL,APARTAMENTO,180000000,2.0,1.0,48.0,0.0,0,3,GUAYABAL,1,197
URBANIZACION DOÑA MARIA ROBLEDO,APARTAMENTO,215000000,3.0,2.0,52.0,1.0,1,3,ROBLEDO,1,437
BELEN LA PALMA,APARTAMENTO,450000000,3.0,2.0,78.0,0.0,1,5,BELEN,1,44
SANTA FE,APARTAMENTO,465000000,2.0,2.0,66.0,0.0,1,4,SANTA FE,1,475
LOS ARIAS,APARTAMENTO,197000000,3.0,2.0,62.0,0.0,0,3,LOS ARIAS,1,332
EL POBLADO,CASA,7900000000,5.0,6.0,1000.0,1.0,10,6,ALTOS DEL POBLADO,2,17
LOMA BENEDICTINOS,CASA,1000000000,4.0,4.0,520.0,2.0,1,5,LOMA BENEDICTINOS,2,306
CONJUNTO RESIDENCIAL SAN JOSE,APARTAMENTO,337000000,3.0,3.0,68.0,3.0,1,4,CONJUNTO RESIDENCIAL SAN JOSE,1,121
LOMA DE LAS BRUJAS,APARTAMENTO,740000000,3.0,2.0,107.0,0.0,2,5,LOMA DE LAS BRUJAS,1,309
LAS LOMITAS,APARTAMENTO,380000000,3.0,2.0,63.0,2.0,1,3,LAS LOMITAS,1,296
ROBLEDO PAJARITO,APARTAMENTO,250000000,3.0,2.0,53.0,0.0,0,3,ROBLEDO,1,437
LA MOTA,APARTAMENTO,315000000,2.0,1.0,65.0,4.0,1,4,LA MOTA,1,263
LOMA DEL CAMPESTRE,APARTAMENTO,650000000,3.0,3.0,110.0,3.0,2,6,LOMA DEL CAMPESTRE,1,318
TRES ESQUINAS,APARTAMENTO,256500000,2.0,2.0,55.0,1.0,0,3,TRES ESQUINAS,1,521
VEREDA SAN JOSE,APARTAMENTO,290000000,2.0,2.0,60.0,0.0,1,4,VEREDA SAN JOSE,1,563
SANTA ROSA DE LIMA,APARTAMENTO,520000000,3.0,2.0,89.0,0.0,1,4,SANTA ROSA DE LIMA,1,485
EL PORTAL,APARTAMENTO,350000000,3.0,3.0,110.0,3.0,0,4,EL PORTAL,1,157
ESTACION VILLA,APARTAMENTO,210000000,3.0,2.0,54.0,2.0,0,3,ESTACION VILLA,1,180
SABANETA REAL,APARTAMENTO,354000000,3.0,2.0,76.0,4.0,1,2,SABANETA REAL,1,442
LOMA DEL INDIO,APARTAMENTO,515000000,3.0,2.0,87.0,1.0,1,4,LOMA DEL INDIO,1,320
LOMA DEL CHOCHO,CASA,1500000000,3.0,4.0,320.0,3.0,3,5,LOMA DEL CHOCHO,2,319
MAYORCA,APARTAMENTO,310000000,3.0,2.0,60.0,1.0,1,4,MAYORCA,1,355
ORIENTE ANTIOQUEÑO CABECERAS,CASA,1250000000,2.0,2.0,180.0,4.0,5,5,ORIENTE ANTIOQUEÑO CABECERAS,2,384
SAN GERMAN,APARTAMENTO,430000000,3.0,2.0,68.0,1.0,1,4,SAN GERMAN,1,457
SEÑORIAL,APARTAMENTO,269000000,3.0,2.0,80.0,0.0,0,5,SEÑORIAL,1,496
SANTA ROSA DE LIMA,APARTAMENTO,380000000,3.0,2.0,57.0,1.0,1,4,SANTA ROSA DE LIMA,1,485
AVES MARIA,APARTAMENTO,360000000,3.0,2.0,66.0,0.0,0,4,AVES MARIA,1,35
SAN ANTONIO DE PRADO,APARTAMENTO,73000000,3.0,1.0,47.0,2.0,1,3,SAN ANTONIO DE PRADO,1,448
LOMA DEL INDIO,APARTAMENTO,433000000,3.0,2.0,76.0,2.0,1,4,LOMA DEL INDIO,1,320
ZUÑIGA,APARTAMENTO,520000000,1.0,2.0,72.0,0.0,1,5,ZUÑIGA,1,592
LOMA DE SAN JOSE,APARTAMENTO,285000000,3.0,2.0,85.0,0.0,0,3,LOMA DE SAN JOSE,1,314
EL CONSEJO,APARTAMENTO,360000000,2.0,2.0,59.0,1.0,1,4,EL CONSEJO,1,143
ROBLEDO LA CAMPIÑA,APARTAMENTO,220000000,3.0,1.0,45.0,0.0,1,3,ROBLEDO,1,437
NAZARETH,APARTAMENTO,230000000,3.0,2.0,65.0,1.0,1,3,NAZARETH,1,373
LAS LOMITAS,APARTAMENTO,430000000,2.0,2.0,77.0,0.0,1,4,LAS LOMITAS,1,296
ENVIGADO,APARTAMENTO,2000000000,4.0,5.0,208.0,0.0,2,6,ENVIGADO,1,174
LOMA DEL ESMERALDAL,APARTAMENTO,510000000,2.0,2.0,79.0,0.0,0,5,EL ESMERALDAL,1,149
CENTRO DE LA MODA,APARTAMENTO,260000000,3.0,2.0,59.0,1.0,0,3,CENTRO,1,101
PRADOS DE SABANETA,APARTAMENTO,295000000,3.0,2.0,60.0,1.0,0,4,PRADOS DE SABANETA,1,422
