neighbourhood_Encoded,neighbourhood
561,VEREDA LA CUCHARITA
146,EL DIAMANTE
82,CAMPO ALEGRE
117,COLON
495,SEVILLA
7,UB TORRES DE ALDEA VERDE II
291,LAS ESMERALDAS
172,ENTREAMIGOS
508,TIERRA AMARILLA
372,MT. VILLA GRANDE
408,PILAR A
156,EL POBLADO LOMA DEL INDIO
203,ITAGUI PARQUE
376,NOROCCIDENTE
335,LOS COLEGIOS
33,AURES NO.1
504,TABLAZO
449,SAN BENITO
515,TRANSV SUPERIOR
53,BERLIN
200,ZONA INDUSTRIAL NO. 2
333,LOS BALSOS N1
126,CRISTO REY
473,SANTA CRUZ
501,LA ESTRELLA SURAMERICA
79,CAMILO TORRES
409,GLORIETA PILSEN
223,LA CABAÑITA
149,ENVIGADO LOMA DEL ESMERALDAL
197,URBANIZACION PRADERAS DE GUAYABAL
17,POBLADO
437,ROBLEDO MEDELLIN SECTOR LA AURORA
128,LOMA DE CUMBRES
393,LOMA DE PAN DE AZUCAR
330,EL NOGAL LOS ALMENDROS
277,LA TOJA
528,URBANIZACION ALIBIANTE
275,LA TABLACITA
1,19 DE ABRIL
112,CO. FUNDADORES 2
156,LOMA DEL INDIO EL POBLADO
325,LOMA SAN JULIAN
56,BOMBONA II
417,PORTAL DEL CERRO
14,ALTAVISTA
557,VALLANO
245,URBANIZACION LA FLORIDA
127,CUCARACHO
101,SEVILLA CENTRO
128,URBANIZACION LAS CUMBRES
350,MANILA
487,URBANIZACION SANTAMARIA
167,TRIANON
55,BLANQUIZAL
286,NORTE BOYACA LAS BRISAS
300,ALTOS DE LAS PALMAS
323,LOMA EL INDIO
527,SAN JUAN
101,PRADO CENTRO
437,ROBLEDO VILLA SOFA
389,OTRO
156,URBANIZACION VEGAS DEL POBLADO
357,SIMESA
480,SANTA MARIA NO. 3
569,VILLA LILIAM
35,SABANETA AVES MARIAS
448,PRADITO SAN ANTONIO DE PRADO
137,EL CARMELO LL
535,URBANIZACION HORTENCIA LL
382,OCCIDENTE
462,URBANIZACION TORRES DE SAN LUCAS
460,SABANETA SAN JOSE
156,LOMA DE SAN JULIAN EL POBLADO
303,LAURELES LAS ACACIAS
204,JARDINES DEL MONTIEL
351,MANRIQUE ORIENTAL
238,LA ESMERALDA
231,LA CHACONA
454,SAN FRANCISCO BARILOCHE
99,CD. PRESIDENCIAL PUEBLA
460,SAN JOSE DE MANZANILLO
62,BRASILIA
579,VILLAS DEL VALLEJUELO
138,EL CASTILLO
287,LOMA LAS BRUJAS
590,ZUNIGA
303,LAURELES SANTA TERESITA
357,LOMA LOS MESA
168,EL YERBAL
65,BUENOS AIRES 8 DE MARZO
35,SABANETA AVES MARIA
550,URBANIZACION VEGA REAL
25,ARAUCARIA
216,LA ASUNCION
480,CONJUNTO RESIDENCIAL SANTA MARIA DEL CAMPO
375,NOEL
153,EL OASIS
220,LA BARQUEÑA
539,URBANIZACION MARCO FIDEL SUAREZ
240,LA QUINTA LA ESTRELLA
437,ROBLEDO LAS MARGARITAS
224,LA CALERA
167,ALTOS DEL TRIANON
559,EL VELODROMO OCCIDENTE
44,BELEN RODEO ALTO
458,SAN JAVIER NRO 1
571,VILLA NUEVA BAJA
420,SAN ANTONIO DEL PRADO
236,LA DOCTORA SABANETA
78,CALLEJON DEL BANCO
76,SABANETA CALLE LARGA
210,BALCONES DE LA ABADIA II
481,SANTA MARIA DE LOS ANGELES POBLADO
136,EL BRASIL
150,EL GUAYABO
381,EL OBRERO
429,LA QUINTA
504,EL TABLAZO
267,URBANIZACION TORRES LA PALMA
461,UB. SAN JUAN CAMPESTRE
445,SAN AGUSTIN
67,CABAÑAS
448,PRADO 
426,PUERTO PEÑALISA
193,GINEBRA CASAS
227,LA CAPILLA
418,PORTAL DEL VALLE
239,LA ESPERANZA NO.2
525,UB ARCOIRIS 2A ETAPA
470,PARQUES DE SAN REMO
299,ORQUIDEAS
423,ABURRA SUR PRIMAVERA
564,VILLA DEL CARMEN
468,SAN PIO X
592,ENVIGADO ZUÑIGA
182,FABRICATO
159,EL RAIZAL
437,ROBLEDO SANTA MARIA
551,URBANIZACION VEGAS DEL PARQUE L LL
460,V SAN JOSE
87,CANTO DE LUNA
493,SENDERO BRUJO
276,TABLAZA
357,LOMA DE LOS MESA
518,TRANSVERSAL SUPERIOR
170,ENRE AMIGOS
28,ASDESILLA
504,EL TABLAZO - CANOAS
90,URBANIZACION CARLOS E RESTREPO
39,NUEVO
19,OCCIDENTE AMERICA
174,ENVIGADO ALTO LAS PALMAS
42,BARRIOS UNIDOS
71,CALASANIA
44,BELEN LA GLORIA
586,ZONA 7
4,ACTIVIDAD MULTIPLE
327,LORENA
19,AMERICA NIZA
437,ROBLEDO VILLA FLORA
196,GRAVETAL
63,LOMA DE LOS BRUJAS
174,LA CALLEJA ENVIGADO
521,BARRIO TRES ESQUINAS
280,LA VIRGINIA
296,SABANETA LAS LOMITAS
378,NORTE NAVARRA
398,PARQUE PRINCIPAL
544,ANDALUCIA
300,VDA EL PEÑASCO VIA LAS PALMAS AEROPUERTO
174,ENVIGADO TRIANON
238,BOSQUES DE LA ESMERALDA
351,MANRIQUE GUADALUPE
452,BRISAS DE SAN DIEGO
101,SIMON BOLIVAR SB (CENTRO)
578,VILLAS DEL SOL
543,URBANIZACION MONTECARLO
205,JESUS NAZARENO
165,EL TESORO POBLADO
