neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
Loma Del Campestre,6.1847661,-75.57168519999999,Apartamento,650000000,3,3,110.0,400000.0,3.0,2,6
Tres esquinas,6.1449557,-75.62213650000001,Apartamento,256500000,2,2,55.0,185912.0,1.0,,3
Vereda san jose,6.1339488,-75.61905279999999,Apartamento,290000000,2,2,60.0,0.0,0.0,1,4
Santa rosa de lima,6.2652046,-75.6034039,Apartamento,520000000,3,2,89.0,320000.0,,1,4
El portal,6.1729576,-75.59141869999999,Apartamento,350000000,3,3,110.0,50000.0,3.0,,4
Estacion villa,6.2558254,-75.5657432,Apartamento,210000000,3,2,54.0,217000.0,2.0,,3
Sabaneta real,6.155949,-75.61085039999999,Apartamento,354000000,3,2,76.0,311.0,4.0,1,2
Loma del Indio,6.2081417,-75.5671292,Apartamento,515000000,3,2,87.0,400000.0,1.0,1,4
Loma del Chocho,6.1651134,-75.55649919999999,Casa,1500000000,3,4,320.0,0.0,3.0,3,5
Mayorca,6.1618172,-75.6055153,Apartamento,310000000,3,2,60.0,208000.0,1.0,1,4
Oriente Antioqueño Cabeceras,6.149018799999999,-75.3789523,Casa,1250000000,2,2,180.0,0.0,4.0,5,5
San german,6.2700266,-75.5913909,Apartamento,430000000,3,2,68.0,0.0,1.0,1,4
Señorial,6.1592318,-75.5989595,Apartamento,269000000,3,2,80.0,10000.0,0.0,,5
Santa rosa de lima,6.2687162,-75.6053282,Apartamento,380000000,3,2,57.0,230000.0,1.0,1,4
Aves Maria,6.143872,-75.6080704,Apartamento,360000000,3,2,66.0,0.0,,,4
San Antonio de Prado,6.235468699999999,-75.5340744,Apartamento,73000000,3,1,47.0,0.0,2.0,1,3
Loma del Indio,6.225461399999999,-75.56104909999999,Apartamento,433000000,3,2,76.0,358000.0,2.0,1,4
Zuñiga,6.183599,-75.578878,Apartamento,520000000,1,2,72.0,460000.0,,1,5
Loma de San Jose,6.1465991,-75.619468,Apartamento,285000000,3,2,85.0,0.0,,,3
El consejo,6.1523099,-75.6060096,Apartamento,360000000,2,2,59.0,173000.0,1.0,1,4
Robledo La Campiña,6.2836473,-75.60657549999999,Apartamento,220000000,3,1,45.0,0.0,,1,3
Nazareth,6.2637131,-75.5706523,Apartamento,230000000,3,2,65.0,200000.0,1.0,1,3
Las Lomitas,6.1574831,-75.6143943,Apartamento,430000000,2,2,77.0,340000.0,0.0,1,4
envigado,6.18274,-75.5807939,Apartamento,2000000000,4,5,208.0,800000.0,,2,6
Loma Del Esmeraldal,6.167286499999999,-75.5836963,Apartamento,510000000,2,2,79.0,0.0,,,5
centro de la moda,6.192992299999999,-75.5999054,Apartamento,260000000,3,2,59.0,159000.0,1.0,,3
Prados de sabaneta,6.1520839,-75.6236993,Apartamento,295000000,3,2,60.0,206300.0,1.0,,4
Caqueta,6.155732299999999,-75.6439844,Apartamento,440000000,3,2,77.0,0.0,,,3
Loma de las Brujas,6.1663737,-75.5820556,Apartamento,1030000000,3,3,107.0,0.0,0.0,2,5
Pajarito,6.286320099999999,-75.6002805,Apartamento,165000000,4,1,43.0,46000.0,1.0,,3
Las Lomitas,6.1536859,-75.6040317,Apartamento,620000000,3,2,78.0,320000.0,0.0,1,4
camino verde,6.160069,-75.57970399999999,Apartamento,479000000,3,2,78.0,340000.0,1.0,2,4
