neighbourhood,count
ARANJUEZ BERLÍN ,1
POBLADO LOMA DEL INDIO,1
SANTAMARIA II,1
BELLA TERRA ALTO DE LAS PALMAS,1
COLEGIO SALVATORI,1
CJ SAN MARCOS,1
VEREDA PANTANILLO,1
LOMA CHINGUI,1
TENCHE,1
SABANETA PAN DE AZUCAR,1
LOMA ESMERALDAL,1
VEREDA LA CUCHARITA,1
LOMA DE LAS FLORES,1
BAVARIA,1
PABLO ESCOBAR LA MILAGROSA,1
ORIENTE ANTIOQUEÑO SECTOR LOS COLEGIOS,1
RIONEGRO,1
URBANIZACION BUCAROS 1,1
ZUÑGA,1
BELÉN EL NOGAL LOS ALMENDROS,1
ALTO DEL ESCOBERO,1
OCCIDENTE ROBLEDO,1
SABANETA PLAYAS DE MARIA,1
POPULAR 1,1
ENVIGADO LA SEBASTIANA,1
ENVIGADO BARRIO MESA,1
BALCONES DE SEVILLA,1
PARQUE,1
VÍA LAS PALMAS,1
URBANIZACION LISBOA,1
ITAGUI SECTOR DITAIRES ,1
MOSCU NO. 1,1
LUNA VERDE,1
GUAYABAL SANTA FE,1
NIQUIA CIUDADELA DEL NORTE,1
BELEN NOROCCIDENTE,1
LA 80,1
CATTLEYA  LOMA SAN JOSÉ,1
URBANIZACION CATALUÑA,1
GUAYABAL CRISTO REY,1
ZUÑIGA ENVIGADO,1
LAS NARANJAS,1
MALTA,1
CALTATRAVA,1
SANTA ELENA MEDELLÍN,1
SAN JUAN BAUTISTA,1
SABANETA MARIA AUXILIADORA,1
CONQUISTADORES OCCIDENTE,1
EL TRIANÓN,1
LA SÉPTIMA LA ESTRELLA,1
FLORESTA ALCAZARES,1
SENORIAL,1
TIERRA GRATA,1
LOS OLIVARES,1
FACULTAD DE MINAS,1
QUINTAS DE LOS ALMENDROS,1
POBLADO SAN LUCAS,1
QUINTAS DE SAUSALITOS,1
SAN ANTONIO DE PEREIRA,1
PARQUE UVA,1
GUAYABALIA,1
CARPINELO,1
SUR AMERICA,1
LA SABANA,1
LOS MANGOS,1
SECTOR LAS CHIMENEAS,1
LOPEZ DE MESA,1
LA CALLEJA,1
NUEVA VILLA DE ABURRA,1
BOYACA,1
12 DE OCTUBRE,1
DUBLIN,1
UB CORTIJO DE SAN JOSE,1
VEREDA SAN JOSÉ EL TRAPICHE,1
ALFONSO LOPEZ,1
ASOMADERA N1,1
LA VERDE,1
SAN BERNARDO,1
CABUYAL,1
SANTA MARIA 1,1
URBANIZACION EL CORTIJO,1
ORIENTE ANTIOQUEÑO SECTOR EL LLANITO,1
MONTEVERDE,1
UB TORRES DE ALDEA VERDE,1
SANTA GEMA,1
PATIO BONITO POBLADO,1
ENVIGADO LOMA DE LOS MESA,1
EL PALMAR,1
PERICO,1
PEREZ,1
BELÉN LOMA BERNAL,1
ZAMORA,1
URBANIZACIÓN LEMONT,1
LA FONTERA,1
TRANVERSAL SUPEIOR INTERCONTINENTAL,1
INMACULADA,1
ASTORGA,1
VEREDA EL CHAGUALO,1
SECTOR EURO,1
LA FRANCIA,1
JUNTAS,1
ESTRELLA,1
ALICATE,1
VALLES DEL SOL,1
SABANETA PARQUE,1
SAN MARTIN,1
LA FRONTERA ENVIGADO,1
JUAN XXIII,1
CALASANZ OCCIDENTE,1
EDIFICIO BARU,1
AVIGNON,1
ROBLEDO KENEDY,1
SAN JOSE DE LA CIMA,1
TRAPICHE,1
SABANETA CAÑAVERALEJO,1
SANTA INES,1
MEDELLIN,1
URBANIZACION VILLA DEL ABURRA,1
EL PRADITO,1
TERRITORIO VERDE,1
SUR POBLADO LAS PALMAS,1
POBLADO SURORIENTE,1
EL CHINGI,1
ORIENTE ANTIOQUEÑO CABECERAS,1
SABANETA CALLE LARGA ,1
URBANIZACION VIVIENDAS DEL SUR LL,1
SAN FRANCISCO BARILOCHE,1
LA CHACONA,1
DANUBIO,1
AVENIDA ORIENTAL,1
CARMELO,1
LAURELES LAS ACACIAS,1
SATEXCO,1
URBANIZACION TORRES DE SAN LUCAS,1
EL CARMELO LL,1
URIBE ÁNGEL,1
PRADITO SAN ANTONIO DE PRADO,1
ROBLES DEL SUR,1
VILLA LILIAM,1
EL CONSEJO,1
BALCONES DE SEVILA,1
PEDRERA MIRADOR AZUL,1
BELEN LA MOTA,1
SAN JUAN,1
LOMA EL INDIO,1
NORTE BOYACA LAS BRISAS,1
CHINGUÍ,1
ABURRA SUR LOMA DEL ESCOBERO,1
LOS HORIZONTES,1
LA BARQUEÑA,1
SAN ANTONIO DEL PRADO,1
LAURELES EL NOGAL,1
URBANIZACION SANTA MARIA DE OVIEDO,1
BELEN RODEO ALTO,1
EL VELÓDROMO OCCIDENTE,1
ALTOS DEL TRIANON,1
ITAGUI DITAIRES,1
ROBLEDO LAS MARGARITAS,1
LA QUINTA LA ESTRELLA,1
URBANIZACION MARCO FIDEL SUAREZ,1
OCCIDENTE CALASANZ,1
SAMARIA,1
URBANIZACION LINARES,1
LOMA TELEVIDA,1
URBANIZACION VEGA REAL,1
SABANETA AVES MARÍA,1
LA CATEDRAL,1
EL YERBAL,1
LOMA LOS MESA,1
BELEN LAS MERCEDES,1
LAURELES SANTA TERESITA,1
ZUNIGA,1
CONDOMINIO NATURAL PLANTE,1
ENVIGADO LOMA DE LAS BRUJAS,1
BEL N,1
LOS COLEGIOS,1
URBANIZACION MONTEBELLO,1
CAMILO TORRES,1
LA ESTRELLA SURAMERICA,1
URBANIZACION LOS NARANJOS,1
POBLADO LOMA DEL ENCIERRO,1
SAN GERM N,1
MALIBÚ,1
TRANSV SUPERIOR,1
BELEN ROSALES,1
LA MADERA,1
ITAGUI PARQUE,1
POBLADO SANTA MARIA DE LOS ANGELES,1
CIUDADELA DEL VALLE,1
PILAR A,1
MT. VILLA GRANDE,1
TIERRA AMARILLA,1
EL LLANO (SANTA ELENA),1
CENTROCCIDENTAL CALASANZ,1
UB TORRES DE ALDEA VERDE II,1
POLARIS APARTAMENTOS,1
AMERICA,1
CHINGÍ,1
ORIENTE ANTIOQUEÑO V EL TAMBO,1
LA CABAÑITA,1
VEREDA SAN JOSÉ,1
CERCA AL PEAJE HACIA EL RETIRO,1
