show_id,name,image,genres,language,type,status,premiered,avg_runtime_minutes,rating,platform,seasons_count,episodes_count,cast,summary
129,Marry Me,https://static.tvmaze.com/uploads/images/medium_portrait/0/1836.jpg,Comedy,English,Scripted,Ended,2014-10-14,30,5.4,NBC,1,18,"Casey Wilson, John Gemberling, Ken Marino, Tymberlee Hill, Sarah Wright Olsen, Tim Meadows, Dan Bucatinsky, JoBeth Williams","Six years ago, Annie and Jake bonded over their mutual love of nachos and they've been inseparable ever since. Now, after returning from a romantic two-week island vacation, Jake's all set to pop the question. Before he can ask, though, Annie lets loose on Jake for his inability to commit. She was expecting him to ""put a ring on it"" in paradise and now Jake's perfect proposal is ruined. Not wanting to spend the next 60 years talking about that mess of a proposal, Jake and Annie decide to hold off on the engagement until they can do it right. Yet if history tells us anything, it's when we really want things to go right that they all tend to go wrong. The only thing we know for sure is these two are destined to be together whether they can get it together or not."
130,Two and a Half Men,https://static.tvmaze.com/uploads/images/medium_portrait/118/296854.jpg,Comedy,English,Scripted,Ended,2003-09-22,30,6.6,CBS,12,262,"Jon Cryer, Angus T. Jones, Conchata Ferrell, Charlie Sheen, Holland Taylor, Ashton Kutcher, Marin Hinkle, Melanie Lynskey, Jennifer Taylor, Amber Tamblyn, April Bowlby, Edan Alexander","Charlie is a well-to-do bachelor with a house at the beach, a Jaguar in the front, and an easy way with women. His casual Malibu lifestyle is interrupted when his tightly wound brother Alan, who's facing a divorce, and his son Jake, come to live with him. Together, these two and a half men confront the challenges of growing up; finally. Complicating matters are the brothers' self-obsessed, controlling mother, Evelyn, Alan's estranged wife, Judith and Charlie's crazy neighbor Rose, who wants to be a part of his life and is willing to do anything to be around. After the death of his brother, Alan Harper meets and befriends a lonely young man named Walden Schmidt who turns out to be a billionaire. Unable to afford his brother's home, Alan sells Walden the house, and as a way of showing his gratitude, Walden allows Alan and his son Jake to move in with him."
131,About a Boy,https://static.tvmaze.com/uploads/images/medium_portrait/0/1880.jpg,"Drama, Comedy, Romance",English,Scripted,Ended,2014-02-22,30,6.5,NBC,2,33,"David Walton, Benjamin Stockham, Minnie Driver, Al Madrigal, Annie Mumolo, Anjelah Johnson-Reyes","Will Freeman lives a charmed existence as the ultimate man-child. After writing a hit song, he was granted a life of free time, free love and freedom from financial woes. He's single, unemployed and loving it. So imagine his surprise when Fiona, a needy, single mom and her oddly charming 11-year-old son Marcus move in next door and disrupt his perfect world."
132,The Millers,https://static.tvmaze.com/uploads/images/medium_portrait/0/1886.jpg,Comedy,English,Scripted,Ended,2013-10-03,30,6.2,CBS,2,34,"Will Arnett, Margo Martindale, Jayma Mays, J.B. Smoove, Nelson Franklin, Beau Bridges, Lulu Wilson, Sean Hayes, Eve Moon","The Millers follows Nathan Miller, a recently divorced local roving news reporter looking forward to living the singles life until his parents' marital problems unexpectedly derail his plans. After Nathan finally breaks the news of his divorce to his parents Carol and Tom, his father is inspired to follow suit and stuns the family when he leaves his wife of 43 years. Already in shock, Nathan is even more aghast when his meddlesome mom decides to move in with him. Meanwhile, his absent-minded dad imposes upon Nathan's sister Debbie, her husband Adam and their daughter. Nathan's best friend and news cameraman Ray was excited to be Nathan's wingman in the dating scene, but Carol manages to even cramp his style. Now, as Nathan and his sister settle in with their truly impossible parents, they both wonder just how long the aggravating adjustment period is going to last."
133,Elementary,https://static.tvmaze.com/uploads/images/medium_portrait/195/488201.jpg,"Drama, Crime, Mystery",English,Scripted,Ended,2012-09-27,60,8.3,CBS,7,154,"Jonny Lee Miller, Lucy Liu, Jon Michael Hill, Aidan Quinn, John Noble, Nelsan Ellis, Desmond Harrington, James Frain","Elementary is a modern-day take on the classic Sherlock Holmes story about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson."
134,Heroes,https://static.tvmaze.com/uploads/images/medium_portrait/0/1904.jpg,"Drama, Action, Science-Fiction",English,Scripted,Ended,2006-09-25,60,7.7,NBC,4,78,"Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka, Sendhil Ramamurthy, James Kyson, Adrian Pasdar, Zachary Quinto, Greg Grunberg, Cristine Rose, Ali Larter, Noah Gray-Cabey, Ali Larter, Robert Knepper, Leonard Roberts, Santiago Cabrera, David Anders, Dania Ramirez, Tawny Cypress, Kristen Bell, Dana Davis","This epic chronicles the lives of ordinary people who discover they possess extraordinary abilities. As a total eclipse casts a shadow across the globe, viewers follow a genetics professor in India whose father's disappearance leads him to uncover a secret theory—there are people with super powers living among us. A young dreamer tries to convince his politician brother that he can fly. A high school cheerleader learns that she is totally indestructible. A Las Vegas stripper, struggling to make ends meet to support her young son, uncovers that her mirror image has a secret. A prison inmate mysteriously finds himself waking up outside of his cell. A gifted artist, whose drug addiction is destroying his life and the relationship with his girlfriend, can paint the future. A down-on-his-luck beat cop can hear people's thoughts, including the secrets of a captured terrorist. In Japan, a young man develops a way to stop time through sheer will power. Their ultimate destiny is nothing less than saving the world."
136,The McCarthys,https://static.tvmaze.com/uploads/images/medium_portrait/0/1900.jpg,"Comedy, Family",English,Scripted,Ended,2014-10-30,30,6.8,CBS,1,15,"Jack McGee, Jimmy Dunn, Joey McIntyre, Kelen Coleman, Laurie Metcalf, Tyler Ritter, Jay Jay Warren, Keegan Boos, Tim Beresford, Timothy E. Goodwin","The McCarthys is a multi-camera comedy about a close-knit, sports-crazed Boston family whose somewhat athletically challenged son, Ronny, is chosen by his father to be his assistant high school basketball coach, much to the surprise of his more qualified siblings. Ronny wants nothing more than to move away, join the singles scene and find a partner. His distraught mother, Marjorie is not upset that her favorite son is gay, but that he wants to leave Boston and his family.Ronny's plans change, however, when his politically incorrect and outspoken father, Arthur stuns everyone with his choice for an assistant. Touched by his father's offer, Ronny embarks on a completely different future and he can be sure that his loving family, including his twin brothers Sean and Gerard and his sister Jackie, are going to have a very vocal opinion about it."
137,Cristela,https://static.tvmaze.com/uploads/images/medium_portrait/0/1932.jpg,"Comedy, Legal",English,Scripted,Ended,2014-10-10,30,7.0,ABC,1,22,"Andrew Leeds, Carlos Ponce, Maria Canals-Barrera, Terri Hoyos, Cristela Alonzo, Sam McMurray, Justine Lupe, Isabella Day, Jacob Guenther",Cristela's dream of becoming a lawyer is something her traditional Mexican-American family doesn't quite understand. She's entering her sixth year of law school after juggling home obligations and working multiple jobs to pay her way.
138,The Leftovers,https://static.tvmaze.com/uploads/images/medium_portrait/503/1259794.jpg,"Drama, Science-Fiction, Thriller",English,Scripted,Ended,2014-06-29,61,8.0,HBO,3,28,"Justin Theroux, Carrie Coon, Christopher Eccleston, Amy Brenneman, Margaret Qualley, Ann Dowd, Chris Zylka, Kevin Carroll, Liv Tyler, Janel Moloney, Jovan Adepo, Scott Glenn, Amanda Warren, Michael Gaston, Annie Q. Riegel, Emily Meade, Regina King, Charlie Carver, Max Carver","Three years after millions of people—some 2% of the world's population—vanished into thin air, residents of Mapleton, NY weigh the pros and cons of a ""Heroes Day"" tribute to the local ""Departed"". Attempting to maintain a sense of normalcy in his strained community, police chief Kevin Garvey faces additional challenges at home with his daughter, Jill, who's lost in a cloud of apathy with her friend Aimee, and son, Tom, who has gravitated to a cult led by the charismatic Holy Wayne. Also of concern is a silent, white-clad group of chain-smoking men and women called the Guilty Remnant, who team up in pairs to stake out people and places around town. As tension in Mapleton escalates, the lives of Laurie, an unexpected member of the Guilty Remnant, and Meg, a recently engaged young woman, converge."
139,Girls,https://static.tvmaze.com/uploads/images/medium_portrait/31/78286.jpg,"Drama, Romance",English,Scripted,Ended,2012-04-15,30,6.4,HBO,6,62,"Lena Dunham, Allison Williams, Jemima Kirke, Zosia Mamet, Adam Driver, Alex Karpovsky, Andrew Rannells, Ebon Moss-Bachrach",This Emmy winning series is a comic look at the assorted humiliations and rare triumphs of a group of girls in their 20s.
